Week Start,Week End,GRIPCA,RMFG,COG,Total
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,,1.0,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,,1.0,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,,1.0,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,,1.0,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,,1.0,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,,1.0,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,,1.0,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,,1.0,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,,1.0,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,,1.0,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,,1.0,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,,1.0,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,,1.0,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,,1.0,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,2.0,,2
2026-01-05T00:00:00,2026-01-11T00:00:00,,,1.0,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,,1.0,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,,1.0,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,,1.0,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,,1.0,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,,1.0,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,,1.0,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,,1.0,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,,1.0,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,,1.0,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,,1.0,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,,1.0,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,,1.0,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,,1.0,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,,1.0,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,,1.0,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,,1.0,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,,1.0,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,,1.0,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,,1.0,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,,1.0,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,,1.0,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,,1.0,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,,1.0,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,,1.0,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,,1.0,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,,1.0,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,,1.0,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,,1.0,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,,1.0,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-05T00:00:00,2026-01-11T00:00:00,,1.0,,1
2026-01-12T00:00:00,2026-01-18T00:00:00,,1.0,,1
2026-01-12T00:00:00,2026-01-18T00:00:00,,1.0,,1
2026-01-12T00:00:00,2026-01-18T00:00:00,,1.0,,1
2026-01-12T00:00:00,2026-01-18T00:00:00,,1.0,,1
2026-01-12T00:00:00,2026-01-18T00:00:00,,1.0,,1
2026-01-12T00:00:00,2026-01-18T00:00:00,,1.0,,1
2026-01-12T00:00:00,2026-01-18T00:00:00,,1.0,,1
2026-01-12T00:00:00,2026-01-18T00:00:00,,2.0,,2
2026-01-12T00:00:00,2026-01-18T00:00:00,,5.0,,5
2026-01-12T00:00:00,2026-01-18T00:00:00,,4.0,,4
2026-01-12T00:00:00,2026-01-18T00:00:00,,3.0,,3
2026-01-12T00:00:00,2026-01-18T00:00:00,,5.0,,5
2026-01-12T00:00:00,2026-01-18T00:00:00,,5.0,,5
2026-01-12T00:00:00,2026-01-18T00:00:00,,6.0,,6
2026-01-12T00:00:00,2026-01-18T00:00:00,,5.0,,5
2026-01-12T00:00:00,2026-01-18T00:00:00,,6.0,,6
2026-01-12T00:00:00,2026-01-18T00:00:00,,10.0,,10
2026-01-12T00:00:00,2026-01-18T00:00:00,,11.0,,11
2026-01-12T00:00:00,2026-01-18T00:00:00,,13.0,,13
2026-01-12T00:00:00,2026-01-18T00:00:00,,10.0,,10
2026-01-12T00:00:00,2026-01-18T00:00:00,,10.0,,10
2026-01-12T00:00:00,2026-01-18T00:00:00,,10.0,,10
2026-01-12T00:00:00,2026-01-18T00:00:00,,8.0,,8
2026-01-12T00:00:00,2026-01-18T00:00:00,,9.0,,9
2026-01-12T00:00:00,2026-01-18T00:00:00,,9.0,,9
2026-01-12T00:00:00,2026-01-18T00:00:00,,6.0,,6
2026-01-12T00:00:00,2026-01-18T00:00:00,,8.0,,8
2026-01-12T00:00:00,2026-01-18T00:00:00,,16.0,,16
2026-01-12T00:00:00,2026-01-18T00:00:00,,12.0,,12
2026-01-12T00:00:00,2026-01-18T00:00:00,,13.0,,13
2026-01-12T00:00:00,2026-01-18T00:00:00,,17.0,,17
2026-01-12T00:00:00,2026-01-18T00:00:00,,12.0,,12
2026-01-12T00:00:00,2026-01-18T00:00:00,,16.0,,16
2026-01-12T00:00:00,2026-01-18T00:00:00,,12.0,,12
2026-01-12T00:00:00,2026-01-18T00:00:00,,14.0,,14
2026-01-12T00:00:00,2026-01-18T00:00:00,,14.0,,14
2026-01-12T00:00:00,2026-01-18T00:00:00,,20.0,,20
2026-01-12T00:00:00,2026-01-18T00:00:00,,16.0,,16
2026-01-12T00:00:00,2026-01-18T00:00:00,,13.0,,13
2026-01-12T00:00:00,2026-01-18T00:00:00,,7.0,,7
2026-01-12T00:00:00,2026-01-18T00:00:00,,5.0,,5
2026-01-12T00:00:00,2026-01-18T00:00:00,,3.0,,3
2026-01-12T00:00:00,2026-01-18T00:00:00,,1.0,,1
2026-01-12T00:00:00,2026-01-18T00:00:00,,1.0,,1
2026-01-12T00:00:00,2026-01-18T00:00:00,,1.0,,1
2026-01-12T00:00:00,2026-01-18T00:00:00,,1.0,,1
2026-01-12T00:00:00,2026-01-18T00:00:00,,1.0,,1
2026-01-12T00:00:00,2026-01-18T00:00:00,,3.0,,3
2026-01-12T00:00:00,2026-01-18T00:00:00,,2.0,,2
2026-01-12T00:00:00,2026-01-18T00:00:00,,1.0,,1
2026-01-12T00:00:00,2026-01-18T00:00:00,,1.0,,1
2026-01-12T00:00:00,2026-01-18T00:00:00,,3.0,,3
2026-01-12T00:00:00,2026-01-18T00:00:00,,3.0,,3
2026-01-12T00:00:00,2026-01-18T00:00:00,,1.0,,1
2026-01-12T00:00:00,2026-01-18T00:00:00,,3.0,,3
2026-01-12T00:00:00,2026-01-18T00:00:00,,6.0,,6
2026-01-12T00:00:00,2026-01-18T00:00:00,,3.0,,3
2026-01-12T00:00:00,2026-01-18T00:00:00,,5.0,,5
2026-01-12T00:00:00,2026-01-18T00:00:00,,7.0,,7
2026-01-12T00:00:00,2026-01-18T00:00:00,,3.0,,3
2026-01-12T00:00:00,2026-01-18T00:00:00,,4.0,,4
2026-01-12T00:00:00,2026-01-18T00:00:00,,3.0,,3
2026-01-12T00:00:00,2026-01-18T00:00:00,,8.0,,8
2026-01-12T00:00:00,2026-01-18T00:00:00,,5.0,,5
2026-01-12T00:00:00,2026-01-18T00:00:00,,6.0,,6
2026-01-12T00:00:00,2026-01-18T00:00:00,,2.0,,2
2026-01-12T00:00:00,2026-01-18T00:00:00,,11.0,,11
2026-01-12T00:00:00,2026-01-18T00:00:00,,6.0,,6
2026-01-12T00:00:00,2026-01-18T00:00:00,,8.0,,8
2026-01-12T00:00:00,2026-01-18T00:00:00,,11.0,,11
2026-01-12T00:00:00,2026-01-18T00:00:00,,12.0,,12
2026-01-12T00:00:00,2026-01-18T00:00:00,,1.0,,1
2026-01-12T00:00:00,2026-01-18T00:00:00,,11.0,,11
2026-01-12T00:00:00,2026-01-18T00:00:00,,4.0,,4
2026-01-12T00:00:00,2026-01-18T00:00:00,,8.0,,8
2026-01-12T00:00:00,2026-01-18T00:00:00,,3.0,,3
2026-01-12T00:00:00,2026-01-18T00:00:00,,9.0,,9
2026-01-12T00:00:00,2026-01-18T00:00:00,,12.0,,12
2026-01-12T00:00:00,2026-01-18T00:00:00,,13.0,,13
2026-01-12T00:00:00,2026-01-18T00:00:00,,13.0,,13
2026-01-12T00:00:00,2026-01-18T00:00:00,,11.0,,11
2026-01-12T00:00:00,2026-01-18T00:00:00,,12.0,,12
2026-01-12T00:00:00,2026-01-18T00:00:00,,10.0,,10
2026-01-12T00:00:00,2026-01-18T00:00:00,,14.0,,14
2026-01-12T00:00:00,2026-01-18T00:00:00,,11.0,,11
2026-01-12T00:00:00,2026-01-18T00:00:00,,13.0,,13
2026-01-12T00:00:00,2026-01-18T00:00:00,,9.0,,9
2026-01-12T00:00:00,2026-01-18T00:00:00,,9.0,,9
2026-01-12T00:00:00,2026-01-18T00:00:00,,9.0,,9
2026-01-12T00:00:00,2026-01-18T00:00:00,,8.0,,8
2026-01-12T00:00:00,2026-01-18T00:00:00,,8.0,,8
2026-01-12T00:00:00,2026-01-18T00:00:00,,13.0,,13
2026-01-12T00:00:00,2026-01-18T00:00:00,,6.0,,6
2026-01-12T00:00:00,2026-01-18T00:00:00,,10.0,,10
2026-01-12T00:00:00,2026-01-18T00:00:00,,10.0,,10
2026-01-12T00:00:00,2026-01-18T00:00:00,,15.0,,15
2026-01-12T00:00:00,2026-01-18T00:00:00,,9.0,,9
2026-01-12T00:00:00,2026-01-18T00:00:00,,9.0,,9
2026-01-12T00:00:00,2026-01-18T00:00:00,,7.0,,7
2026-01-12T00:00:00,2026-01-18T00:00:00,,8.0,,8
2026-01-12T00:00:00,2026-01-18T00:00:00,,8.0,,8
2026-01-12T00:00:00,2026-01-18T00:00:00,,8.0,,8
2026-01-12T00:00:00,2026-01-18T00:00:00,,8.0,,8
2026-01-12T00:00:00,2026-01-18T00:00:00,,9.0,,9
2026-01-12T00:00:00,2026-01-18T00:00:00,,8.0,,8
2026-01-12T00:00:00,2026-01-18T00:00:00,,4.0,,4
2026-01-12T00:00:00,2026-01-18T00:00:00,,6.0,,6
2026-01-12T00:00:00,2026-01-18T00:00:00,,12.0,,12
2026-01-12T00:00:00,2026-01-18T00:00:00,,14.0,,14
2026-01-12T00:00:00,2026-01-18T00:00:00,,8.0,,8
2026-01-12T00:00:00,2026-01-18T00:00:00,,10.0,,10
2026-01-12T00:00:00,2026-01-18T00:00:00,,7.0,,7
2026-01-12T00:00:00,2026-01-18T00:00:00,,7.0,,7
2026-01-12T00:00:00,2026-01-18T00:00:00,,9.0,,9
2026-01-12T00:00:00,2026-01-18T00:00:00,,11.0,,11
2026-01-12T00:00:00,2026-01-18T00:00:00,,5.0,,5
2026-01-12T00:00:00,2026-01-18T00:00:00,,9.0,,9
2026-01-12T00:00:00,2026-01-18T00:00:00,,5.0,,5
2026-01-12T00:00:00,2026-01-18T00:00:00,,5.0,,5
2026-01-12T00:00:00,2026-01-18T00:00:00,,5.0,,5
2026-01-12T00:00:00,2026-01-18T00:00:00,,7.0,,7
2026-01-12T00:00:00,2026-01-18T00:00:00,,3.0,,3
2026-01-12T00:00:00,2026-01-18T00:00:00,,2.0,,2
2026-01-12T00:00:00,2026-01-18T00:00:00,,4.0,,4
2026-01-12T00:00:00,2026-01-18T00:00:00,,1.0,,1
2026-01-12T00:00:00,2026-01-18T00:00:00,,2.0,,2
2026-01-12T00:00:00,2026-01-18T00:00:00,,2.0,,2
2026-01-12T00:00:00,2026-01-18T00:00:00,,5.0,,5
2026-01-12T00:00:00,2026-01-18T00:00:00,,1.0,,1
2026-01-12T00:00:00,2026-01-18T00:00:00,,6.0,,6
2026-01-12T00:00:00,2026-01-18T00:00:00,,1.0,,1
2026-01-12T00:00:00,2026-01-18T00:00:00,,3.0,,3
2026-01-12T00:00:00,2026-01-18T00:00:00,,3.0,,3
2026-01-12T00:00:00,2026-01-18T00:00:00,,2.0,,2
2026-01-12T00:00:00,2026-01-18T00:00:00,,4.0,,4
